,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
   Dossier Number  ,      Designation        , Country , ISO ,   Status   ,   Type    , Last relevant date ,   Product Categrory   ,      Latin Transcription     , Submission date , Publication date , Registration date , 1st Amendment date , 2nd Amendment date , 3rd Amendment date 
HR/PDO/0005/01347,Paška janjetina,Croatia,HR,Registered,PDO,05/10/2016,Class 1.1. Fresh meat (and offal),,19/06/2015,24/05/2016,05/10/2016,,,
HR/PDO/0005/01351,Korčulansko maslinovo ulje,Croatia,HR,Registered,PDO,05/10/2016,"Class 1.5. Oils and fats (butter, margarine, oil, etc.)",,01/07/2015,26/05/2016,05/10/2016,,,
IT/PGI/0005/01307,Culurgionis d’Ogliastra,Italy,IT,Registered,PGI,29/09/2016,Class 2.7. Pasta,,02/02/2015,24/05/2016,29/09/2016,,,
IT/PGI/0005/01349,Pizzoccheri della Valtellina,Italy,IT,Registered,PGI,29/09/2016,Class 2.7. Pasta,,24/06/2015,24/05/2016,29/09/2016,,,
FR/PGI/0005/02094,Saucisson sec d’Auvergne / Saucisse sèche d’Auvergne ,France,FR,Registered,PGI,20/09/2016,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,23/11/2015,04/05/2016,20/09/2016,,,
IT/PGI/0005/01305,Sicilia,Italy,IT,Registered,PGI,16/09/2016,"Class 1.5. Oils and fats (butter, margarine, oil, etc.)",,29/01/2015,25/05/2016,16/09/2016,,,
GR/PGI/0005/01339,Φάβα Φενεού,Greece,GR,Registered,PGI,14/09/2016,"Class 1.6. Fruit, vegetables and cereals fresh or processed",Fava Feneou,26/05/2015,05/05/2016,14/09/2016,,,
IE/PDO/0005/01318,Oriel Sea Salt,Ireland,IE,Registered,PDO,31/08/2016,Class 1.8. other products of Annex I of the Treaty (spices etc.),,26/02/2015,22/04/2016,31/08/2016,,,
IE/PDO/0005/01319,Oriel Sea Minerals,Ireland,IE,Registered,PDO,31/08/2016,Class 1.8. other products of Annex I of the Treaty (spices etc.),,26/02/2015,30/04/2016,31/08/2016,,,
AT/PDO/0005/01272,Steirische Käferbohne,Austria,AT,Registered,PDO,24/08/2016,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,04/11/2014,09/04/2016,24/08/2016,,,
PT/PGI/0005/01341,Pão de Ló de Ovar,Portugal,PT,Registered,PGI,24/08/2016,"Class 2.4. Bread, pastry, cakes, confectionery, biscuits and other baker’s wares",,28/05/2015,22/04/2016,24/08/2016,,,
CY/PDO/0005/01309,Κολοκάσι Σωτήρας / Κολοκάσι-Πούλλες Σωτήρας,Cyprus,CY,Registered,PDO,03/08/2016,"Class 1.6. Fruit, vegetables and cereals fresh or processed",Kolokasi Sotiras / Kolokasi-Poulles Sotiras,03/02/2015,19/03/2016,03/08/2016,,,
DE/PGI/0005/01257,Flönz,Germany,DE,Registered,PGI,29/07/2016,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,26/08/2014,22/03/2016,29/07/2016,,,
DE/PGI/0005/00946,Oecher Puttes / Aachener Puttes,Germany,DE,Registered,PGI,06/07/2016,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,02/02/2012,15/03/2016,06/07/2016,,,
HR/PDO/0005/01345,Krčko maslinovo ulje,Croatia,HR,Registered,PDO,06/07/2016,"Class 1.5. Oils and fats (butter, margarine, oil, etc.)",,19/06/2015,15/03/2016,06/07/2016,,,
DO/PDO/0005/01197,Café de Valdesia,Dominican Republic,DO,Registered,PDO,29/06/2016,Class 1.8. other products of Annex I of the Treaty (spices etc.),,30/01/2014,08/03/2016,29/06/2016,,,
PT/PGI/0005/01143,Ginja de Óbidos e Alcobaça,Portugal,PT,Registered,PGI,29/06/2016,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,06/08/2013,08/03/2016,29/06/2016,,,
CY/PGI/0005/01310,Γλυκό Τριαντάφυλλο Αγρού,Cyprus,CY,Registered,PGI,21/06/2016,"Class 2.4. Bread, pastry, cakes, confectionery, biscuits and other baker’s wares",Glyko Triantafyllo Agrou,03/02/2015,11/02/2016,21/06/2016,,,
PL/PGI/0005/01315,Krupnioki śląskie,Poland,PL,Registered,PGI,21/06/2016,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,23/02/2015,20/02/2016,21/06/2016,,,
UK/PDO/0005/01304,Conwy Mussels,United Kingdom,GB,Registered,PDO,17/06/2016,"Class 1.7. Fresh fish, molluscs, and crustaceans and products derived therefrom",,27/01/2015,24/02/2016,17/06/2016,,,
DE/PDO/0005/0897,Allgäuer Sennalpkäse,Germany,DE,Registered,PDO,14/06/2016,Class 1.3. Cheeses,,11/10/2011,21/01/2016,14/06/2016,,,
ES/PGI/0005/01308,Gall del Penedès,Spain,ES,Registered,PGI,14/06/2016,Class 1.1. Fresh meat (and offal),,03/02/2015,13/02/2016,14/06/2016,,,
FR/PGI/0005/01296,Poulet de l'Ardèche/Chapon de l'Ardèche,France,FR,Registered,PGI,14/06/2016,Class 1.1. Fresh meat (and offal),,29/12/2014,11/02/2016,14/06/2016,,,
FR/PGI/0005/01297,Pintade de l'Ardèche,France,FR,Registered,PGI,14/06/2016,Class 1.1. Fresh meat (and offal),,29/12/2014,12/02/2016,14/06/2016,,,
FR/PGI/0005/01298,Soumaintrain,France,FR,Registered,PGI,14/06/2016,Class 1.3. Cheeses,,29/12/2014,06/02/2016,14/06/2016,,,
FR/PGI/0005/01311,Sel de Salies-de-Béarn,France,FR,Registered,PGI,14/06/2016,Class 1.8. other products of Annex I of the Treaty (spices etc.),,03/02/2015,12/02/2016,14/06/2016,,,
HR/PGI/0005/01234,Zagorski puran,Croatia,HR,Registered,PGI,14/06/2016,Class 1.1. Fresh meat (and offal),,27/05/2014,16/02/2016,14/06/2016,,,
PT/PGI/0005/01342,Fogaça da Feira,Portugal,PT,Registered,PGI,14/06/2016,"Class 2.4. Bread, pastry, cakes, confectionery, biscuits and other baker’s wares",,01/06/2015,13/02/2016,14/06/2016,,,
IT/PGI/0005/01217,Patata del Fucino,Italy,IT,Registered,PGI,28/04/2016,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,21/03/2014,30/12/2015,28/04/2016,,,
SK/PGI/0005/01181,Levický slad,Slovakia,SK,Registered,PGI,28/04/2016,Class 1.8. other products of Annex I of the Treaty (spices etc.),,20/11/2013,23/12/2015,28/04/2016,,,
MULTI/PGI/0005/01343,Rosée des Pyrénées Catalanes,France,FR,Registered,PGI,20/04/2016,Class 1.1. Fresh meat (and offal),,23/04/2010,20/10/2015,20/04/2016,,,
ES/PDO/0005/01196,Miel de Liébana,Spain,ES,Registered,PDO,05/04/2016,"Class 1.4. Other products of animal origin (eggs, honey, various dairy products except butter, etc.)",,10/02/2014,20/10/2015,05/04/2016,,,
HR/PGI/0005/01224,Poljički soparnik / Poljički zeljanik / Poljički uljenjak,Croatia,HR,Registered,PGI,05/04/2016,"Class 2.4. Bread, pastry, cakes, confectionery, biscuits and other baker’s wares",,08/05/2014,30/10/2015,05/04/2016,,,
Multi/PGI/0005/01042,Ternera de los Pirineos Catalanes / Vedella dels Pirineus Catalans / Vedell des Pyrénées Catalanes,Spain,ES,Registered,PGI,05/04/2016,Class 1.1. Fresh meat (and offal),,23/04/2010,17/10/2015,05/04/2016,,,
RO/PDO/0005/01182,Telemea de Ibăneşti,Romania,RO,Registered,PDO,15/03/2016,Class 1.3. Cheeses,,20/11/2013,10/01/2015,15/03/2016,,,
DE/PGI/0005/00884,Frankfurter Grüne Soße / Frankfurter Grie Soß,Germany,DE,Registered,PGI,09/03/2016,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,13/07/2011,22/10/2015,09/03/2016,,,
ES/PGI/0005/01218,Polvorones de Estepa,Spain,ES,Registered,PGI,09/03/2016,"Class 2.4. Bread, pastry, cakes, confectionery, biscuits and other baker’s wares",,24/03/2014,13/10/2015,09/03/2016,,,
AT/TSG/0007/01035,Heumilch / Haymilk / Latte fieno / Lait de foin / Leche de heno,Austria,AT,Registered,TSG,04/03/2016,"Class 1.4. Other products of animal origin (eggs, honey, various dairy products except butter, etc.)",,27/08/2012,30/09/2014,04/03/2016,,,
IT/PDO/0005/01016,Pane Toscano,Italy,IT,Registered,PDO,04/03/2016,"Class 2.4. Bread, pastry, cakes, confectionery, biscuits and other baker’s wares",,18/07/2012,14/08/2013,04/03/2016,,,
FR/PGI/0005/01348,Jambon d'Auvergne,France,FR,Registered,PGI,02/03/2016,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,23/06/2015,08/10/2015,02/03/2016,,,
PT/PGI/0005/00864,Alheira de Mirandela,Portugal,PT,Registered,PGI,02/03/2016,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,10/03/2011,09/10/2015,02/03/2016,,,
RO/PGI/0005/01280,Salam de Sibiu,Romania,RO,Registered,PGI,19/02/2016,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,21/11/2014,06/10/2015,19/02/2016,,,
KH/PGI/0005/01263,ម្រេចកំពត,Cambodia,KH,Registered,PGI,18/02/2016,Class 1.8. other products of Annex I of the Treaty (spices etc.),(Mrech Kampot) ”Poivre de Kampot”,06/10/2014,13/08/2015,18/02/2016,,,
NL/PDO/0005/01177,Brabantse Wal asperges,Netherlands,NL,Registered,PDO,17/02/2016,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,06/11/2013,06/10/2015,17/02/2016,,,
TR/PDO/0005/01116,Aydın İnciri,Turkey,TR,Registered,PDO,17/02/2016,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,11/06/2013,11/09/2015,17/02/2016,,,
ES/PDO/0005/01302,Cochinilla de Canarias,Spain,ES,Registered,PDO,16/02/2016,Class 3.4. Cochineal (raw product of animal origin),,22/01/2015,02/10/2015,16/02/2016,,,
ES/PGI/0005/01211,Mojama de Isla Cristina ,Spain,ES,Registered,PGI,16/02/2016,"Class 1.7. Fresh fish, molluscs, and crustaceans and products derived therefrom",,10/03/2014,01/10/2015,16/02/2016,,,
FR/PDO/0005/01328,Abricots rouges du Roussillon,France,FR,Registered,PDO,16/02/2016,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,15/04/2015,03/10/2015,16/02/2016,,,
HR/PGI/0005/01205,Dalmatinski pršut,Croatia,HR,Registered,PGI,13/02/2016,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,03/03/2014,01/10/2015,13/02/2016,,,
DE/PGI/0005/01053,Aachener Weihnachts-Leberwurst / Oecher Weihnachtsleberwurst,Germany,DE,Registered,PGI,10/02/2016,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,05/11/2012,22/09/2015,10/02/2016,,,
IT/PGI/0005/01324,Cappellacci di zucca ferraresi,Italy,IT,Registered,PGI,09/02/2016,Class 2.7. Pasta,,26/03/2015,25/09/2015,09/02/2016,,,
IT/PGI/0005/01333,Mortadella di Prato,Italy,IT,Registered,PGI,09/02/2016,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,08/05/2015,25/09/2015,09/02/2016,,,
ES/PDO/0005/01230,Granada Mollar de Elche/Granada de Elche,Spain,ES,Registered,PDO,26/01/2016,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,19/05/2014,12/08/2015,26/01/2016,,,
ES/PGI/0005/01134,Ternera de Aliste,Spain,ES,Registered,PGI,26/01/2016,Class 1.1. Fresh meat (and offal),,29/07/2013,26/08/2015,26/01/2016,,,
GR/PGI/0005/01058,Σταφίδα Σουλτανίνα Κρήτης,Greece,GR,Registered,PGI,26/01/2016,"Class 1.6. Fruit, vegetables and cereals fresh or processed",Stafida Soultanina Kritis,16/11/2012,05/04/2014,26/01/2016,,,
IT/PGI/0005/01267,Asparago di Cantello,Italy,IT,Registered,PGI,26/01/2016,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,17/10/2014,04/08/2015,26/01/2016,,,
IT/PGI/0005/01290,Cantuccini Toscani/Cantucci Toscani,Italy,IT,Registered,PGI,26/01/2016,"Class 2.4. Bread, pastry, cakes, confectionery, biscuits and other baker’s wares",,11/12/2014,11/08/2015,26/01/2016,,,
FR/PGI/0005/01254,Asperges du Blayais,France,FR,Registered,PGI,08/12/2015,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,19/08/2014,21/07/2015,08/12/2015,,,
HR/PGI/0005/01212,Drniški pršut,Croatia,HR,Registered,PGI,08/12/2015,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,13/03/2014,23/07/2015,08/12/2015,,,
IT/PGI/0005/01323,Pampapato di Ferrara/Pampepato di Ferrara,Italy,IT,Registered,PGI,08/12/2015,"Class 2.4. Bread, pastry, cakes, confectionery, biscuits and other baker’s wares",,26/03/2015,21/07/2015,08/12/2015,,,
BG/TSG/0007/01018,Кайсерован врат Тракия,Bulgaria,BG,Registered,TSG,05/12/2015,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",Kayserovan vrat Trakiya,23/07/2012,14/03/2014,05/12/2015,,,
FR/PGI/0005/01201,Saucisson de Lacaune / Saucisse de Lacaune,France,FR,Registered,PGI,26/11/2015,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,27/03/2014,29/04/2015,26/11/2015,04/07/2017,,
ES/PGI/0005/01210,Mojama de Barbate ,Spain,ES,Registered,PGI,24/11/2015,"Class 1.7. Fresh fish, molluscs, and crustaceans and products derived therefrom",,10/03/2014,08/07/2015,24/11/2015,,,
FR/PGI/0005/01253,Echalote d’Anjou,France,FR,Registered,PGI,24/11/2015,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,25/08/2014,03/07/2015,24/11/2015,,,
DE/PGI/0005/01070,Oberlausitzer Biokarpfen,Germany,DE,Registered,PGI,18/11/2015,"Class 1.7. Fresh fish, molluscs, and crustaceans and products derived therefrom",,13/12/2012,27/06/2015,18/11/2015,,,
LV/TSG/0007/01264,Jāņu siers,Latvia,LV,Registered,TSG,17/11/2015,Class 1.3. Cheeses,,09/10/2014,20/06/2015,17/11/2015,,,
LV/PDO/0005/01194,Latvijas lielie pelēkie zirņi,Latvia,LV,Registered,PDO,29/10/2015,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,04/02/2014,06/06/2015,29/10/2015,,,
CY/PGI/0005/01244,Παφίτικο Λουκάνικο,Cyprus,CY,Registered,PGI,20/10/2015,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",Pafitiko Loukaniko,17/07/2014,06/06/2015,20/10/2015,,,
IT/PGI/0005/01231,Cipolla bianca di Margherita,Italy,IT,Registered,PGI,20/10/2015,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,21/05/2014,06/06/2015,20/10/2015,,,
MULTI/PDO/0005/01041,Istarski pršut / Istrski pršut,Croatia,HR,Registered,PDO,14/10/2015,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,04/10/2012,01/06/2013,14/10/2015,,,
FR/PGI/0005/01299,Citron de Menton,France,FR,Registered,PGI,02/10/2015,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,05/01/2015,05/05/2015,02/10/2015,,,
NL/TSG/0007/01178,Hollandse maatjesharing/Hollandse Nieuwe/Holländischer Matjes,Netherlands,NL,Registered,TSG,01/10/2015,"Class 1.7. Fresh fish, molluscs and crustaceans and products derived therefrom",,06/11/2013,12/05/2015,01/10/2015,01/06/2016,,
HR/PGI/0005/01242,Lički krumpir,Croatia,HR,Registered,PGI,30/09/2015,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,10/07/2014,01/05/2015,30/09/2015,,,
EL/PDO/0005/01027,Γαλανό Μεταγγιτσίου Χαλκιδικής,Greece,GR,Registered,PDO,29/09/2015,"Class 1.5. Oils and fats (butter, margarine, oil, etc.)",Galano Metaggitsiou Chalkidikis,07/08/2012,30/04/2015,29/09/2015,,,
IT/PDO/0005/01252,Silter,Italy,IT,Registered,PDO,29/09/2015,Class 1.3. Cheeses,,06/08/2014,29/04/2015,29/09/2015,,,
ES/PGI/0005/01235,Melón de Torre Pacheco-Murcia,Spain,ES,Registered,PGI,23/09/2015,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,28/05/2014,28/04/2015,23/09/2015,,,
HR/PGI/0005/01207,Baranjski kulen,Croatia,HR,Registered,PGI,23/09/2015,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,03/03/2014,28/04/2015,23/09/2015,,,
IT/PDO/0005/01184,Patata novella di Galatina,Italy,IT,Registered,PDO,23/09/2015,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,28/11/2013,21/04/2015,23/09/2015,,,
